,id,label
0,0,malicious
1,1,benign
2,2,benign
3,3,malicious
4,4,malicious
5,5,malicious
6,6,benign
7,7,benign
8,8,malicious
9,9,benign
10,10,benign
11,11,malicious
12,12,benign
13,13,benign
14,14,benign
15,15,malicious
16,16,benign
17,17,benign
18,18,benign
19,19,benign
20,20,malicious
21,21,malicious
22,22,benign
23,23,malicious
24,24,benign
25,25,benign
26,26,benign
27,27,benign
28,28,benign
29,29,benign
30,30,malicious
31,31,benign
32,32,benign
33,33,malicious
34,34,malicious
35,35,benign
36,36,malicious
37,37,malicious
38,38,benign
39,39,malicious
40,40,benign
41,41,malicious
42,42,malicious
43,43,benign
44,44,benign
45,45,benign
46,46,benign
47,47,benign
48,48,benign
49,49,malicious
50,50,benign
51,51,malicious
52,52,malicious
53,53,benign
54,54,benign
55,55,benign
56,56,benign
57,57,malicious
58,58,malicious
59,59,malicious
60,60,malicious
61,61,malicious
62,62,benign
63,63,benign
64,64,benign
65,65,benign
66,66,benign
67,67,malicious
68,68,benign
69,69,malicious
70,70,malicious
71,71,malicious
72,72,malicious
73,73,benign
74,74,malicious
75,75,benign
76,76,benign
77,77,benign
78,78,malicious
79,79,benign
80,80,benign
81,81,malicious
82,82,malicious
83,83,malicious
84,84,malicious
85,85,benign
86,86,benign
87,87,benign
88,88,benign
89,89,benign
90,90,malicious
91,91,malicious
92,92,benign
93,93,benign
94,94,malicious
95,95,benign
96,96,benign
97,97,benign
98,98,benign
99,99,benign
100,100,benign
101,101,benign
102,102,benign
103,103,benign
104,104,malicious
105,105,benign
106,106,benign
107,107,benign
108,108,malicious
109,109,benign
110,110,malicious
111,111,benign
112,112,benign
113,113,malicious
114,114,benign
115,115,benign
116,116,benign
117,117,benign
118,118,malicious
119,119,malicious
120,120,malicious
121,121,malicious
122,122,malicious
123,123,malicious
124,124,benign
125,125,benign
126,126,malicious
127,127,malicious
128,128,malicious
129,129,malicious
130,130,benign
131,131,benign
132,132,benign
133,133,benign
134,134,benign
135,135,benign
136,136,malicious
137,137,malicious
138,138,benign
139,139,benign
140,140,malicious
141,141,malicious
142,142,malicious
143,143,malicious
144,144,benign
145,145,malicious
146,146,malicious
147,147,benign
148,148,benign
149,149,benign
150,150,benign
151,151,malicious
152,152,benign
153,153,benign
154,154,benign
155,155,malicious
156,156,benign
157,157,benign
158,158,benign
159,159,malicious
160,160,benign
161,161,benign
162,162,malicious
163,163,benign
164,164,malicious
165,165,benign
166,166,benign
167,167,benign
168,168,benign
169,169,benign
170,170,benign
171,171,benign
172,172,benign
173,173,benign
174,174,malicious
175,175,benign
176,176,malicious
177,177,malicious
178,178,benign
179,179,benign
180,180,benign
181,181,malicious
182,182,benign
183,183,malicious
184,184,benign
185,185,malicious
186,186,malicious
187,187,benign
188,188,malicious
189,189,benign
190,190,malicious
191,191,malicious
192,192,benign
193,193,benign
194,194,benign
195,195,benign
196,196,benign
197,197,benign
198,198,malicious
199,199,malicious
200,200,benign
201,201,benign
202,202,benign
203,203,malicious
204,204,benign
205,205,malicious
206,206,benign
207,207,benign
208,208,malicious
209,209,malicious
210,210,malicious
211,211,benign
212,212,benign
213,213,benign
214,214,malicious
215,215,benign
216,216,malicious
217,217,malicious
218,218,benign
219,219,benign
220,220,benign
221,221,benign
222,222,malicious
223,223,benign
224,224,benign
225,225,benign
226,226,malicious
227,227,malicious
228,228,benign
229,229,benign
230,230,benign
231,231,malicious
232,232,benign
233,233,benign
234,234,benign
235,235,benign
236,236,malicious
237,237,malicious
238,238,malicious
239,239,benign
240,240,benign
241,241,benign
242,242,malicious
243,243,malicious
244,244,malicious
245,245,malicious
246,246,benign
247,247,benign
248,248,malicious
249,249,benign
250,250,malicious
251,251,benign
252,252,malicious
253,253,malicious
254,254,malicious
255,255,benign
256,256,benign
257,257,benign
258,258,malicious
259,259,malicious
260,260,benign
261,261,benign
262,262,malicious
263,263,malicious
264,264,malicious
265,265,malicious
266,266,benign
267,267,benign
268,268,malicious
269,269,malicious
270,270,malicious
271,271,benign
272,272,malicious
273,273,benign
274,274,malicious
275,275,malicious
276,276,malicious
277,277,benign
278,278,malicious
279,279,benign
280,280,benign
281,281,malicious
282,282,malicious
283,283,malicious
284,284,malicious
285,285,malicious
286,286,benign
287,287,benign
288,288,benign
289,289,malicious
290,290,malicious
291,291,benign
292,292,malicious
293,293,benign
294,294,benign
295,295,malicious
296,296,malicious
297,297,benign
298,298,benign
299,299,malicious
300,300,benign
301,301,malicious
302,302,malicious
303,303,malicious
304,304,benign
305,305,malicious
306,306,malicious
307,307,malicious
308,308,malicious
309,309,benign
310,310,malicious
311,311,benign
312,312,benign
313,313,malicious
314,314,malicious
315,315,benign
316,316,malicious
317,317,malicious
318,318,malicious
319,319,malicious
320,320,benign
321,321,malicious
322,322,malicious
323,323,benign
324,324,malicious
325,325,malicious
326,326,benign
327,327,malicious
328,328,malicious
329,329,malicious
330,330,malicious
331,331,malicious
332,332,benign
333,333,malicious
334,334,malicious
335,335,malicious
336,336,malicious
337,337,benign
338,338,benign
339,339,benign
340,340,benign
341,341,benign
342,342,malicious
343,343,benign
344,344,malicious
345,345,malicious
346,346,benign
347,347,malicious
348,348,benign
349,349,benign
350,350,malicious
351,351,benign
352,352,malicious
353,353,malicious
354,354,malicious
355,355,malicious
356,356,malicious
357,357,benign
358,358,malicious
359,359,malicious
360,360,malicious
361,361,malicious
362,362,malicious
363,363,malicious
364,364,benign
